0,digit
1,digit
2,digit
3,digit
4,digit
5,digit
6,digit
7,digit
8,digit
9,digit
٠,arabic-indic_digit
١,arabic-indic_digit
٢,arabic-indic_digit
٣,arabic-indic_digit
٤,arabic-indic_digit
٥,arabic-indic_digit
٦,arabic-indic_digit
٧,arabic-indic_digit
٨,arabic-indic_digit
٩,arabic-indic_digit
۰,extended_arabic-indic_digit
۱,extended_arabic-indic_digit
۲,extended_arabic-indic_digit
۳,extended_arabic-indic_digit
۴,extended_arabic-indic_digit
۵,extended_arabic-indic_digit
۶,extended_arabic-indic_digit
۷,extended_arabic-indic_digit
۸,extended_arabic-indic_digit
۹,extended_arabic-indic_digit
߀,nko_digit
߁,nko_digit
߂,nko_digit
߃,nko_digit
߄,nko_digit
߅,nko_digit
߆,nko_digit
߇,nko_digit
߈,nko_digit
߉,nko_digit
०,devanagari_digit
१,devanagari_digit
२,devanagari_digit
३,devanagari_digit
४,devanagari_digit
५,devanagari_digit
६,devanagari_digit
७,devanagari_digit
८,devanagari_digit
९,devanagari_digit
০,bengali_digit
১,bengali_digit
২,bengali_digit
৩,bengali_digit
৪,bengali_digit
৫,bengali_digit
৬,bengali_digit
৭,bengali_digit
৮,bengali_digit
৯,bengali_digit
੦,gurmukhi_digit
੧,gurmukhi_digit
੨,gurmukhi_digit
੩,gurmukhi_digit
੪,gurmukhi_digit
੫,gurmukhi_digit
੬,gurmukhi_digit
੭,gurmukhi_digit
੮,gurmukhi_digit
੯,gurmukhi_digit
૦,gujarati_digit
૧,gujarati_digit
૨,gujarati_digit
૩,gujarati_digit
૪,gujarati_digit
૫,gujarati_digit
૬,gujarati_digit
૭,gujarati_digit
૮,gujarati_digit
૯,gujarati_digit
୦,oriya_digit
୧,oriya_digit
୨,oriya_digit
୩,oriya_digit
୪,oriya_digit
୫,oriya_digit
୬,oriya_digit
୭,oriya_digit
୮,oriya_digit
୯,oriya_digit
௦,tamil_digit
௧,tamil_digit
௨,tamil_digit
௩,tamil_digit
௪,tamil_digit
௫,tamil_digit
௬,tamil_digit
௭,tamil_digit
௮,tamil_digit
௯,tamil_digit
౦,telugu_digit
౧,telugu_digit
౨,telugu_digit
౩,telugu_digit
౪,telugu_digit
౫,telugu_digit
౬,telugu_digit
౭,telugu_digit
౮,telugu_digit
౯,telugu_digit
೦,kannada_digit
೧,kannada_digit
೨,kannada_digit
೩,kannada_digit
೪,kannada_digit
೫,kannada_digit
೬,kannada_digit
೭,kannada_digit
೮,kannada_digit
೯,kannada_digit
൦,malayalam_digit
൧,malayalam_digit
൨,malayalam_digit
൩,malayalam_digit
൪,malayalam_digit
൫,malayalam_digit
൬,malayalam_digit
൭,malayalam_digit
൮,malayalam_digit
൯,malayalam_digit
෦,sinhala_lith_digit
෧,sinhala_lith_digit
෨,sinhala_lith_digit
෩,sinhala_lith_digit
෪,sinhala_lith_digit
෫,sinhala_lith_digit
෬,sinhala_lith_digit
෭,sinhala_lith_digit
෮,sinhala_lith_digit
෯,sinhala_lith_digit
๐,thai_digit
๑,thai_digit
๒,thai_digit
๓,thai_digit
๔,thai_digit
๕,thai_digit
๖,thai_digit
๗,thai_digit
๘,thai_digit
๙,thai_digit
໐,lao_digit
